GRUPO,LAB,DESCLAB,MEDICAMENTO,DESCRIÇÃO,CODBARRAS,ESTOQUE,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01
SEM TARJA,120,SANKYO                ,224585,LACTULONA - FRUTAS XPE FR 120ML,7897411610767,2,4,3,4,2,5,7,10,6,1,2,2,1,7,5,7,0,5,5,6,6,12,3,3,6,5,9,15,7,3,5,7,7,8,7,3,5,11,12,4,7,11,13,14,16,13,7,10,5,12,13,19,8,3,16,9,12,14,19,14,13
PSICOTROPICO,83,GLAXOSMITHKLINE               ,205164,LAMICTAL - 25MG CX 30 COMP,7896269901195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0
SEM TARJA,9,NOVARTIS OTC,231273,LAMISILATE - 1% CREME BG 30G,7896261009011,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,2,1,1,0,0,0,0,2,1,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
PSICOTROPICO,404,TORRENT DO BRASIL             ,217514,LAMITOR - 100MG CX 30 COMP,8902220105454,6,16,3,17,16,0,25,13,13,22,16,10,21,10,9,7,1,9,9,10,8,10,16,8,9,9,10,7,6,7,7,7,14,3,8,7,4,4,10,9,10,12,8,4,16,5,8,7,10,6,9,13,14,7,13,10,21,14,10,4,15
PSICOTROPICO,404,TORRENT DO BRASIL             ,217512,LAMITOR - 25MG CX 30 COMP,8902220105423,6,9,8,11,4,0,7,8,5,5,8,3,6,2,7,6,0,5,3,4,6,1,5,8,5,4,8,7,4,8,0,4,8,3,5,6,5,4,6,8,3,4,4,5,5,7,10,6,1,1,2,4,1,13,2,4,4,9,5,10,8
PSICOTROPICO,404,TORRENT DO BRASIL             ,217513,LAMITOR - 50MG CX 30 COMP,8902220105447,1,0,12,3,2,0,7,5,3,1,3,3,6,1,6,1,0,2,3,3,3,2,6,3,4,2,2,5,5,6,0,1,5,4,3,6,3,4,7,6,8,7,7,12,10,9,11,4,8,3,4,1,4,5,6,4,9,8,8,13,4
TARJADO,314,MEDLEY                        ,233531,LANELI - 30 CAP GEL,7896422524476,1,2,0,0,1,0,1,1,2,1,0,0,0,1,0,0,0,3,0,1,1,0,1,1,2,0,2,1,0,1,3,2,3,3,2,3,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
GENERICOS,466,EMS GENÉRICO                    ,221609,LANSOPRAZOL-30MG CX 28 CAP,7896004703633,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INJETAVEL,492,SANOFI-AVENTIS                ,219080,LANTUS - 100UI SOL INJ CX 1CARP X 3ML,7891058025137,23,40,42,39,37,7,56,42,50,34,41,31,36,59,42,46,15,54,53,43,53,56,53,36,27,70,57,53,59,52,53,43,42,54,46,50,49,47,52,46,58,55,51,48,64,48,62,51,65,63,47,60,67,65,48,50,61,51,46,49,52
INJETAVEL,492,SANOFI-AVENTIS                ,219079,LANTUS - 100UI SOL INJ CX 1FA X 10ML,7891058009205,8,2,6,7,1,2,5,12,6,5,4,8,5,9,8,9,3,6,6,8,3,4,3,3,6,3,9,12,7,12,11,2,10,5,5,4,7,9,11,11,8,0,15,8,9,12,5,7,6,15,9,12,8,12,10,12,11,9,7,10,9
INJETAVEL,492,SANOFI-AVENTIS                ,228684,LANTUS SOLOSTAR - 100UI SOL INJ 1CARP X 3ML+1APLIC,7891058003029,0,32,22,27,38,35,68,75,66,73,61,71,65,30,20,38,10,28,28,33,38,40,34,52,35,17,10,22,20,13,22,21,23,22,22,29,31,34,27,26,21,30,26,20,31,19,22,20,15,19,31,12,25,26,30,30,16,30,36,24,28
TARJADO,136,SIGMA PHARMA                  ,219188,LANZ - 15MG CX 14 CAP,7894916502351,0,2,1,0,2,1,1,0,2,0,0,0,1,4,4,2,3,3,1,0,2,1,2,0,0,0,0,0,1,2,0,2,3,1,2,6,0,4,1,3,0,2,0,1,0,3,2,2,1,2,6,2,0,3,1,1,2,2,1,0,2
TARJADO,136,SIGMA PHARMA                  ,220625,LANZ - 30MG CX 28 CAP,7894916503082,6,6,2,3,4,1,5,4,6,6,4,4,3,4,7,12,0,5,6,7,6,11,11,3,3,6,5,3,6,5,2,3,3,3,3,4,4,7,11,5,7,16,5,13,11,4,10,10,2,7,8,1,8,6,4,6,6,3,7,4,8
TARJADO,492,SANOFI-AVENTIS                ,31712,LASILACTONA - 100+20MG CX 30 CAP,7891058439019,1,0,0,0,1,1,0,0,0,2,1,0,1,3,3,2,1,4,0,3,3,1,1,2,1,1,1,2,2,1,1,0,2,1,1,1,2,2,2,4,0,1,2,4,0,1,2,0,2,0,3,0,3,0,1,2,2,1,2,1,2
TARJADO,492,SANOFI-AVENTIS                ,31771,LASIX - 40MG CX 20 COMP,7891058431037,11,20,19,14,19,8,22,20,19,21,19,20,25,20,19,31,18,21,29,19,32,23,32,16,20,26,22,31,33,26,27,36,44,35,38,18,23,17,23,24,20,26,25,26,31,28,33,23,31,24,41,31,30,34,31,26,32,28,32,29,28
TARJADO,317,ALLERGAN                      ,240506,"LASTACAFT - 0,25%  FR 3ML",7897316806012,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,4,2,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,317,ALLERGAN                      ,236171,"LASTACAFT - 0,25% FR 3ML",7897316805824,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,1,3,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SEM TARJA,163,BIOLAB SANUS                  ,227492,"LAXETTE - 55,6MG CX 10 COMP",7896112466925,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SEM TARJA,39,TAKEDA,207710,LEGALON - 180 MG CX 20 CAP,7896641802225,4,0,0,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,1,0,0,0,0,0,0,3,2,1,0,4,4,2,0,0,3,0,3,2,0,4,2,0,0,2,0,0,4,2,0,7,0,2,3,6,3,3,3,3
SEM TARJA,39,TAKEDA,150347,LEGALON - 90MG CX 30 DRG,7896641800429,1,2,0,0,1,0,0,1,2,0,0,0,0,4,3,5,1,2,0,1,3,0,0,0,2,3,0,0,0,3,1,0,0,0,0,2,4,2,7,2,0,0,1,1,4,1,2,1,4,6,5,2,4,10,7,4,6,5,8,0,3
SEM TARJA,78513,ASPEN,239626,LEITE MAGNESIA PHILLIPS TRAD 120 ML - LIQ FR 120ML SB TRADIC,78905016,3,4,2,3,7,1,2,4,1,4,5,2,2,8,7,8,2,9,4,7,5,5,3,1,3,5,7,7,5,4,5,4,5,8,5,6,6,4,6,8,5,3,4,5,3,4,11,15,3,15,12,10,11,9,6,13,10,4,7,9,6
SEM TARJA,78513,ASPEN,239629,LEITE MAGNESIA PHILLIPS TRAD 350 ML - LIQ FR 350ML SB TRADIC,78905023,0,13,7,10,6,6,6,15,4,7,2,11,3,15,15,13,1,13,11,5,11,12,11,10,5,14,5,12,18,9,13,13,10,13,12,16,10,7,14,14,12,12,11,17,7,15,8,22,3,11,17,20,11,18,22,9,8,17,15,2,19
PSICOTROPICO,99,EUROFARMA                     ,237831,LEPTICO - 100MG CX 60 COMP,7891317473402,0,0,0,0,0,1,0,0,0,1,1,2,2,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSICOTROPICO,99,EUROFARMA                     ,237829,LEPTICO - 50MG CX 60 COMP,7891317473372,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEM TARJA,317,ALLERGAN                      ,32360,LERIN - SOL FR 24ML,7897316800201,3,2,1,2,5,0,6,3,4,1,3,2,1,4,1,3,0,1,6,3,3,4,1,3,4,5,6,2,4,5,2,3,2,0,1,1,4,2,4,2,1,3,3,2,8,4,3,4,4,8,10,15,5,9,8,6,9,8,5,6,8
TARJADO,4,ACHE                          ,32484,LEUCOGEN - 200MG XPE FR 120ML,7896658002403,36,10,10,5,12,3,9,1,9,5,6,1,3,6,13,5,2,30,12,25,17,18,16,8,8,5,4,4,6,9,11,8,7,4,6,6,10,3,5,2,8,7,5,5,5,3,4,5,8,10,10,14,18,13,20,4,9,5,6,6,5
TARJADO,4,ACHE                          ,205387,LEUCOGEN - 80MG CX 20 CAP,7896658002397,14,0,4,7,10,2,4,2,5,5,4,3,6,5,4,10,0,5,7,1,2,8,7,3,14,2,3,4,6,2,4,1,3,2,2,3,4,0,0,2,0,1,3,0,2,1,1,1,1,10,6,10,4,7,10,4,6,3,2,0,1
TARJADO,83,GLAXOSMITHKLINE               ,209155,LEUKERAN - 2MG CX 25 COMP,7896269901454,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0
TARJADO,163,BIOLAB SANUS                  ,236748,"LEVEL - 0,1+0,02MG CX 21 COMP",7896241248287,6,1,6,6,0,1,2,2,2,0,1,2,0,4,5,2,4,4,5,4,4,5,6,4,9,4,1,2,1,4,5,4,4,4,4,6,6,3,3,2,2,2,3,4,0,2,1,2,1,3,3,2,2,5,2,5,5,2,4,2,3
INJETAVEL,137,NOVO NORDISK                  ,236519,LEVEMIR - FLEXPEN 1 SISTEMA APLICACAO 3 ML,7897705201145,2,16,7,4,6,3,6,4,6,4,4,2,5,8,4,3,6,14,16,21,14,8,15,15,6,3,1,2,4,6,20,6,6,6,6,4,4,0,0,0,0,0,0,0,0,0,8,6,3,0,0,0,0,0,0,0,0,0,0,0,0
INJETAVEL,137,NOVO NORDISK                  ,223715,LEVEMIR (FRAÇÃO) - FLEX PEN 5 SISTEMAS APLICACAO 3 ML,7897705201152,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,5,0,5,3,2,0,8,2,0,3,6,4,12,5,19,2,11,14,13,0,0,0,0,5,28,10,22,12,23,23,16,12,15,16,10,9
TARJADO,21,BAYER                         ,233369,LEVITRA ODT 10 MG C/2 COMP - 10MG CX 2 COMP,7891106904919,2,0,0,0,1,0,1,0,0,1,1,2,3,2,0,3,0,1,2,2,2,0,3,1,0,1,2,0,5,3,6,0,1,2,1,2,2,4,0,0,0,0,1,1,1,1,1,2,3,0,0,0,0,0,0,2,1,0,0,0,0
GENERICOS,99,EUROFARMA                     ,228977,LEVOCETIRIZINA - 5MG CX 10 COMP,7891317457266,3,0,3,0,2,2,0,5,2,3,1,2,2,1,1,1,0,1,3,1,3,1,1,0,2,5,5,1,3,5,2,3,6,2,3,8,6,0,0,2,3,0,5,3,3,4,4,2,5,2,2,2,0,0,4,0,0,3,1,2,0
GENERICOS,161,SANDOZ                        ,225749,LEVOFLOXACINO - 500MG CX 10 COMP,7897595605283,0,2,2,1,0,2,5,4,7,3,1,4,3,1,2,1,1,0,0,0,0,2,2,3,1,2,1,2,5,1,2,2,2,3,2,0,0,1,0,4,2,4,4,3,1,3,2,0,0,0,0,0,0,0,0,0,0,1,5,0,0
GENERICOS,466,EMS GENÉRICO                    ,224261,LEVOFLOXACINO - 500MG CX 10 COMP REV,7896004713120,5,0,1,2,1,0,3,0,0,0,0,0,0,2,2,1,1,3,3,7,7,1,3,0,0,5,4,2,10,13,8,6,11,9,8,7,7,3,3,5,4,5,3,3,4,8,2,3,3,6,3,9,15,6,33,36,4,6,0,8,3
GENERICOS,161,SANDOZ                        ,225748,LEVOFLOXACINO - 500MG CX 7 COMP,7897595605290,1,1,4,2,2,1,3,7,5,8,4,1,1,5,1,4,0,2,3,0,3,0,2,2,2,2,6,4,7,9,4,8,3,7,6,0,2,4,7,6,12,11,7,9,13,3,2,5,2,0,0,0,0,0,0,0,0,0,2,5,0
GENERICOS,99,EUROFARMA                     ,218803,LEVOFLOXACINO - 500MG CX 7 COMP,7891317414139,7,4,2,4,5,1,13,6,6,1,2,4,4,7,9,6,4,8,8,14,4,13,7,8,3,13,12,20,21,15,16,14,15,14,14,13,2,10,16,13,6,16,17,17,10,15,7,15,10,63,39,66,63,69,93,99,19,24,19,22,6
TARJADO,4,ACHE                          ,226638,LEVOID - 100MCG CX 30 COMP,7896658008825,1,1,1,1,0,1,0,2,2,1,2,3,0,2,1,1,0,0,0,3,2,1,0,1,0,2,1,2,1,5,1,0,3,1,1,5,0,2,2,1,1,0,1,4,2,2,1,1,2,1,0,0,1,2,1,0,2,3,1,3,3
TARJADO,4,ACHE                          ,226639,LEVOID - 112MCG CX 30 COMP,7896658008849,1,2,1,2,1,1,3,1,2,3,3,1,3,2,1,2,0,0,0,0,2,0,4,1,1,2,2,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,1,0,0,1,0
TARJADO,4,ACHE                          ,226640,LEVOID - 125MCG CX 30 COMP,7896658008863,0,0,0,0,0,1,1,0,1,1,1,0,2,0,2,1,0,1,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
TARJADO,4,ACHE                          ,226641,LEVOID - 150MCG CX 30 COMP,7896658008887,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
TARJADO,4,ACHE                          ,226642,LEVOID - 175MCG CX 30 COMP,7896658003394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TARJADO,4,ACHE                          ,226634,LEVOID - 25MCG CX 30 COMP,7896658008740,3,4,3,4,7,1,6,11,5,5,3,2,4,3,5,7,4,11,12,12,3,1,5,6,2,5,3,2,6,3,5,5,8,5,6,3,7,4,7,7,5,5,7,9,9,8,0,0,0,4,4,5,2,4,0,6,5,5,7,10,5
TARJADO,4,ACHE                          ,229718,LEVOID - 38MCG CX 30 COMP,7896658002076,4,8,8,5,2,2,1,7,6,8,5,2,2,9,9,6,4,8,6,14,6,12,11,5,6,0,8,8,5,4,5,9,5,7,7,6,6,9,7,7,5,7,2,7,4,7,7,5,4,1,3,1,3,3,2,5,6,4,3,9,3
TARJADO,4,ACHE                          ,226635,LEVOID - 50MCG CX 30 COMP,7896658008764,2,4,8,4,4,2,8,10,7,6,7,4,6,6,5,3,2,3,11,2,0,1,4,9,7,8,7,8,9,7,6,3,6,3,4,9,6,1,2,4,3,2,5,5,7,5,7,5,1,5,5,7,1,8,8,4,11,4,6,5,5
TARJADO,4,ACHE                          ,226636,LEVOID - 75MCG CX 30 COMP,7896658008788,2,0,0,3,2,0,7,5,4,3,6,2,3,2,0,1,1,3,0,2,2,2,2,1,4,1,2,2,1,3,5,4,3,3,3,1,1,4,4,3,4,4,5,1,3,1,3,1,1,3,2,1,2,2,1,1,1,2,2,2,2
TARJADO,4,ACHE                          ,226637,LEVOID - 88MCG CX 30 COMP,7896658008801,1,1,1,1,2,0,1,2,2,2,5,0,3,1,0,2,0,3,1,1,2,1,0,1,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,4,1,0,0,1,1,1,0,0,1,0,0,0,1,2,1,1,1,2,1,1,1
TARJADO,136,SIGMA PHARMA                  ,152510,LEVORDIOL - CX 28 COMP,7894916204705,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,126,MERCK                         ,229861,LEVOTIROXINA SODICA - 100MCG CX 30 COMP,7891721019999,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,126,MERCK                         ,229858,LEVOTIROXINA SODICA - 25MCG CX 30 COMP,7891721019791,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,2,0,3,0,1,5,2,0,0,1,3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,126,MERCK                         ,229859,LEVOTIROXINA SODICA - 50MCG CX 30 COMP,7891721019845,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,8,6,7,9,5,2,0,4,5,0,0,6,2,9,2,2,4,4,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,126,MERCK                         ,229860,LEVOTIROXINA SODICA - 75MCG CX 30 COMP,7891721019890,2,1,3,2,6,0,2,4,3,2,3,1,1,6,4,3,1,6,5,6,7,6,2,1,3,3,0,0,0,0,0,0,0,3,1,6,5,0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,126,MERCK                         ,230199,LEVOTIROXINA SODICA - 88MCG CX 30 COMP,7891721019944,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,1,6,3,1,0,1,1,0,0,0,0,0,3,2,4,2,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,12,APSEN                         ,219057,LEVOXIN - 500MG CX 10 COMP,7896637023108,2,0,0,4,2,0,1,0,0,2,1,1,2,3,1,0,0,3,3,1,2,2,0,0,0,0,0,0,1,1,1,3,1,1,1,1,1,0,2,0,1,2,2,3,1,0,3,0,0,6,10,10,4,16,14,2,0,3,1,1,0
TARJADO,12,APSEN                         ,215954,LEVOXIN - 500MG CX 7 COMP,7896637023009,0,1,0,0,0,0,0,0,3,4,2,1,1,3,9,5,2,10,6,10,7,5,3,6,1,2,9,8,2,12,11,11,7,6,8,12,4,5,3,7,5,8,7,8,8,7,4,7,1,12,18,16,16,14,14,26,5,3,1,3,2
PSICOTROPICO,428,LUNDBECK                      ,217915,LEXAPRO - 10MG CX 28 COMP,5702157150809,21,7,3,7,6,2,6,9,2,3,8,6,5,13,11,12,4,13,6,9,6,11,11,10,13,17,8,19,5,19,12,16,6,19,13,19,14,5,11,7,10,11,7,10,1,5,4,5,13,14,14,9,14,7,21,12,15,17,16,18,6
PSICOTROPICO,428,LUNDBECK                      ,231985,LEXAPRO - 15MG CX 28 COMP,5702157151905,13,3,1,8,5,1,3,10,7,5,7,9,8,8,8,12,6,14,16,9,6,13,13,4,7,5,8,4,6,11,3,10,8,3,7,4,7,0,3,3,3,4,0,0,4,1,1,3,2,0,2,2,1,4,0,0,2,1,3,1,1
PSICOTROPICO,428,LUNDBECK                      ,228989,LEXAPRO - 20MG CX 28 COMP,5702157152452,13,2,3,1,1,1,0,0,0,1,0,0,0,6,3,0,0,0,2,2,1,1,2,4,1,0,0,0,4,2,2,1,5,4,3,4,4,0,2,0,0,1,0,0,1,1,1,1,0,1,0,1,1,2,1,1,0,0,0,1,2
PSICOTROPICO,428,LUNDBECK                      ,230680,LEXAPRO - 20MG FR 15ML,5702157141326,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
PSICOTROPICO,158,ROCHE                         ,33642,LEXOTAN - 3MG CX 20 COMP,7896226500164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,4,0,1,0,0,0,2,0,0,3,4,0,4,3,0,4,0,2,0,3,3,0,20,8,6,3,12,3,11,3,9,6,4,4
PSICOTROPICO,158,ROCHE                         ,211533,LEXOTAN - 3MG CX 30 COMP,7896226502199,11,7,6,6,14,3,15,10,12,11,9,12,15,32,36,19,16,33,28,37,22,33,21,16,13,39,24,47,38,45,40,37,52,31,40,30,48,38,51,38,35,28,31,33,38,30,41,43,21,42,54,47,48,36,57,44,41,46,45,45,40
PSICOTROPICO,158,ROCHE                         ,211534,LEXOTAN - 6MG CX 30 COMP,7896226502205,4,2,2,3,3,0,2,5,2,0,5,4,2,8,9,4,4,9,8,0,4,2,7,4,3,11,3,6,11,6,16,9,17,6,10,8,7,16,11,16,16,16,16,11,11,2,10,15,7,16,14,15,22,26,17,8,23,21,11,14,15
TARJADO,4,ACHE                          ,234412,"LIBERAFLUX - 7,5MG/ML X 100ML",7896317907834,0,1,5,1,5,1,0,0,0,0,0,0,0,2,7,18,4,7,4,8,12,3,0,2,1,1,0,6,6,7,7,5,4,8,5,1,0,0,0,0,0,0,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,117,LIBBS                         ,215985,"LIBIAM - 1,25MG CX 28 COMP",7896094201378,21,7,7,7,14,3,9,10,9,6,7,4,2,11,14,15,6,18,17,16,19,14,11,13,7,18,13,15,13,18,10,14,9,12,11,23,6,17,14,11,14,15,16,15,12,11,12,18,14,8,16,11,16,12,11,11,19,19,15,18,14
TARJADO,117,LIBBS                         ,211696,"LIBIAM - 2,5MG CX 28 COMP",7896094200920,11,9,11,9,10,1,7,4,8,5,6,5,9,9,16,15,7,15,13,13,16,18,18,7,15,16,8,12,8,13,15,17,7,14,12,9,12,10,11,16,11,14,12,10,14,10,13,11,11,5,12,9,8,9,10,12,8,11,12,12,12
GENERICOS,466,EMS GENÉRICO                    ,224164,LIDOCAINA - 20MG GEL BG 30G,7896004715193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
GENERICOS,438,GENERICOS GERMED              ,228056,LIDOCAINA - 40MG CREME DERM BG 30G,7896004721972,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERICOS,466,EMS GENÉRICO                    ,228431,LIDOCAINA - 50MG POM DERM BG 25G,7896004722467,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,3,1,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PSICOTROPICO,167,MANTECORP                     ,235336,LIORAM - 10MG CX 10 COMP,7891142157447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSICOTROPICO,167,MANTECORP                     ,235337,LIORAM - 10MG CX 20 COMP,7891142157485,3,0,1,3,0,0,1,2,3,0,4,2,5,8,0,0,1,0,3,1,3,4,0,0,5,11,7,4,12,16,3,8,6,7,7,6,5,11,17,15,11,14,5,9,9,12,7,6,10,18,20,24,16,17,27,19,23,19,26,17,26
TARJADO,319,NOVARTIS                      ,34886,LIORESAL - 10MG CX 20 COMP,7896261000520,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,0,3,0,0,2,0,0,0,3,0,4,4,5,5,3,4,4,0,11,11,3,9,9,3,1,8,0,0,3,3,6,6,9,8,8,6,11,6,10,9,11,4
TARJADO,71,FARMASA                       ,223862,LIPANON - 250MG CX 30 CAP,7897322705415,8,10,7,11,13,4,5,10,8,13,12,13,11,15,12,23,4,10,12,23,13,16,17,7,11,22,16,21,19,14,14,17,14,21,17,15,17,21,17,25,26,23,17,26,21,24,27,25,17,44,27,34,35,31,24,35,33,31,28,21,17
TARJADO,518,GERMED PHARMA                 ,229674,LIPIBLOCK - 120MG CX 2BL X 21 CAP,7894916507066,1,2,0,1,1,0,1,0,1,1,0,1,0,4,3,1,0,1,1,1,4,4,3,6,3,3,1,1,3,4,2,2,5,3,3,3,4,2,2,3,2,1,4,1,3,3,3,1,2,0,0,0,0,0,0,0,1,0,3,0,3
TARJADO,518,GERMED PHARMA                 ,229675,LIPIBLOCK - 120MG CX 4BL X 21 CAP,7894916507073,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,4,4,2,4,2,1,1,2,1,1,2,0,0,1,0,1,1,1,0,1,2,0,1,1,0,0,2,0,2,2,1,1,0,0,0,2
TARJADO,70,CHIESI                        ,238105,LIPIDIL - 160MG CX 30 COMP,7896672202728,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TARJADO,3,ABBOTT                        ,208584,LIPIDIL - 200 MG CX 30 CAP,7896672202452,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,2,1,3,0,0,0,1,2,1,0,0,5,4,1,0,3,0,0,1,0,2,2,2,7,9,4,5,6,4,6,7,5,5,7,1
TARJADO,136,SIGMA PHARMA                  ,232121,LIPISTAT - 10MG CX 6BL X10 COMP REV,7894916508162,1,2,1,2,1,1,1,2,1,0,2,3,1,2,1,4,2,1,1,4,2,3,1,1,0,4,1,3,2,2,3,2,3,3,2,3,2,1,1,2,0,1,0,2,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
